model,gru_hidden,loss_name,loss_type,test_target,group,test_ap,test_pr_auc,test_precision_at_100,test_recall_at_100,test_f1_at_100,test_precision_at_500,test_recall_at_500,test_f1_at_500,pos_weight,alpha,gamma
GRU,64,weighted_bce_pw50,weighted_bce,4,G4,0.09239642326845125,0.09208367308264251,0.43,0.06814580031695722,0.11764705882352942,0.162,0.12836767036450078,0.143236074270557,50.0,,
GRU,64,weighted_bce_pw50,weighted_bce,5,G5,0.08714813336741656,0.08673015013140463,0.36,0.0241773002014775,0.04531151667715544,0.244,0.0819341840161182,0.12267471091000504,50.0,,
GRU,64,weighted_bce_pw50,weighted_bce,7,G7,0.5329349299962153,0.5328316882872868,0.92,0.028535980148883373,0.05535499398315283,0.808,0.12531017369727046,0.21697099892588614,50.0,,
GRU,64,weighted_bce_pw50,weighted_bce,8,G8,0.5868938986487601,0.5868062278253585,0.87,0.02375102375102375,0.046239702365134194,0.83,0.1132951132951133,0.19937545039634877,50.0,,
GRU,64,weighted_bce_pw60,weighted_bce,4,G4,0.09652073780489802,0.09616497567097598,0.44,0.06973058637083994,0.12038303693570453,0.174,0.13787638668779714,0.15384615384615383,60.0,,
GRU,64,weighted_bce_pw60,weighted_bce,5,G5,0.09924742817476499,0.09860434120512858,0.42,0.028206850235057087,0.05286343612334802,0.284,0.09536601746138348,0.1427853192559075,60.0,,
GRU,64,weighted_bce_pw60,weighted_bce,7,G7,0.5322130831214055,0.5321043181833924,0.9,0.02791563275434243,0.05415162454873647,0.808,0.12531017369727046,0.21697099892588614,60.0,,
GRU,64,weighted_bce_pw60,weighted_bce,8,G8,0.583733782308262,0.5836462143692718,0.87,0.02375102375102375,0.046239702365134194,0.84,0.11466011466011466,0.20177756425654578,60.0,,
GRU,64,focal_a075_g2,focal,4,G4,0.06955703374001843,0.06930800983264274,0.36,0.05705229793977813,0.0984952120383037,0.12,0.09508716323296355,0.10610079575596816,,0.75,2.0
GRU,64,focal_a075_g2,focal,5,G5,0.08354933690601332,0.08310523899453166,0.44,0.029550033579583614,0.0553807426054122,0.228,0.07656145063801209,0.11463046757164405,,0.75,2.0
GRU,64,focal_a075_g2,focal,7,G7,0.4518565634676461,0.45173154926024656,0.91,0.028225806451612902,0.05475330926594464,0.708,0.1098014888337469,0.19011815252416756,,0.75,2.0
GRU,64,focal_a075_g2,focal,8,G8,0.576795326811572,0.5767211842372872,0.95,0.025935025935025936,0.050491629019399416,0.838,0.11438711438711438,0.20129714148450636,,0.75,2.0
GRU,64,focal_a090_g2,focal,4,G4,0.08947396190123176,0.08913909501537334,0.44,0.06973058637083994,0.12038303693570453,0.154,0.12202852614896989,0.1361626878868258,,0.9,2.0
GRU,64,focal_a090_g2,focal,5,G5,0.1464647390432548,0.1462189278441729,0.63,0.04231027535258563,0.07929515418502203,0.38,0.12760241773002015,0.19105077928607342,,0.9,2.0
GRU,64,focal_a090_g2,focal,7,G7,0.4395307890731919,0.4393946469093478,0.87,0.02698511166253102,0.052346570397111915,0.688,0.10669975186104218,0.18474758324382382,,0.9,2.0
GRU,64,focal_a090_g2,focal,8,G8,0.5761144370606577,0.576043058062309,0.95,0.025935025935025936,0.050491629019399416,0.842,0.11493311493311494,0.20225798702858513,,0.9,2.0
GRU,128,weighted_bce_pw50,weighted_bce,4,G4,0.06458920058447322,0.0634607185365893,0.31,0.0491283676703645,0.08481532147742818,0.174,0.13787638668779714,0.15384615384615383,50.0,,
GRU,128,weighted_bce_pw50,weighted_bce,5,G5,0.08990595386682083,0.08945756965850094,0.27,0.018132975151108125,0.03398363750786658,0.24,0.08059100067159167,0.1206636500754148,50.0,,
GRU,128,weighted_bce_pw50,weighted_bce,7,G7,0.5314421104591831,0.5313359576335052,0.91,0.028225806451612902,0.05475330926594464,0.828,0.12841191066997518,0.22234156820622986,50.0,,
GRU,128,weighted_bce_pw50,weighted_bce,8,G8,0.588403018991327,0.5883297420715294,0.94,0.02566202566202566,0.04996013818761626,0.882,0.12039312039312039,0.21186644246937306,50.0,,
GRU,128,weighted_bce_pw60,weighted_bce,4,G4,0.07060257009283674,0.06931881508481141,0.31,0.0491283676703645,0.08481532147742818,0.184,0.14580031695721077,0.16268788682581786,60.0,,
GRU,128,weighted_bce_pw60,weighted_bce,5,G5,0.09586381651541995,0.09539229183005009,0.28,0.01880456682337139,0.03524229074889868,0.252,0.08462055070517126,0.12669683257918551,60.0,,
GRU,128,weighted_bce_pw60,weighted_bce,7,G7,0.5225744258551841,0.5224555096139594,0.89,0.02760545905707196,0.053549939831528275,0.808,0.12531017369727046,0.21697099892588614,60.0,,
GRU,128,weighted_bce_pw60,weighted_bce,8,G8,0.5849357539018109,0.5848565858967107,0.93,0.025389025389025387,0.049428647355833105,0.884,0.12066612066612066,0.2123468652414124,60.0,,
GRU,128,focal_a075_g2,focal,4,G4,0.07617344305816033,0.07576676966555351,0.39,0.061806656101426306,0.106703146374829,0.148,0.11727416798732171,0.1308576480990274,,0.75,2.0
GRU,128,focal_a075_g2,focal,5,G5,0.11595806707422447,0.11557544633578683,0.56,0.03760913364674278,0.07048458149779736,0.332,0.11148421759570182,0.16691804927099044,,0.75,2.0
GRU,128,focal_a075_g2,focal,7,G7,0.4381102211434674,0.43798647083074965,0.89,0.02760545905707196,0.053549939831528275,0.684,0.10607940446650124,0.1836734693877551,,0.75,2.0
GRU,128,focal_a075_g2,focal,8,G8,0.574474164368223,0.5744002708992709,0.97,0.02648102648102648,0.05155461068296572,0.846,0.11547911547911548,0.20321883257266393,,0.75,2.0
GRU,128,focal_a090_g2,focal,4,G4,0.10179677170176402,0.10144505201021667,0.48,0.07606973058637084,0.1313269493844049,0.178,0.1410459587955626,0.15738284703801944,,0.9,2.0
GRU,128,focal_a090_g2,focal,5,G5,0.15338745120558164,0.15310399641705114,0.65,0.04365345869711216,0.08181246066708622,0.388,0.1302887844190732,0.1950729009552539,,0.9,2.0
GRU,128,focal_a090_g2,focal,7,G7,0.4440462417060435,0.4439218402373122,0.9,0.02791563275434243,0.05415162454873647,0.704,0.10918114143920596,0.18904403866809882,,0.9,2.0
GRU,128,focal_a090_g2,focal,8,G8,0.5630798428329,0.5630045164682838,0.95,0.025935025935025936,0.050491629019399416,0.832,0.11356811356811357,0.19985587316838818,,0.9,2.0
